日付,始値,高値,安値,終値
2018年2月28日,"22,292.53","22,380.28","22,068.24","22,068.24"
2018年2月27日,"22,391.67","22,502.05","22,325.07","22,389.86"
2018年2月26日,"22,134.64","22,226.53","22,040.87","22,153.63"
2018年2月23日,"21,789.72","21,903.39","21,741.63","21,892.78"
2018年2月22日,"21,789.88","21,799.4","21,626.85","21,736.44"
2018年2月21日,"21,942.42","22,130.58","21,836.73","21,970.81"
2018年2月20日,"22,054.32","22,063.87","21,831.45","21,925.1"
2018年2月19日,"21,903.66","22,152.85","21,858.33","22,149.21"
2018年2月16日,"21,555.99","21,866.37","21,499.88","21,720.25"
2018年2月15日,"21,384.1","21,578.99","21,308.92","21,464.98"
2018年2月14日,"21,251.24","21,371.01","20,950.15","21,154.17"
2018年2月13日,"21,633.34","21,679.2","21,211.53","21,244.68"
2018年2月9日,"21,507.74","21,510.3","21,119.01","21,382.62"
2018年2月8日,"21,721.57","21,977.03","21,649.7","21,890.86"
2018年2月7日,"22,001.29","22,353.87","21,627.13","21,645.37"
2018年2月6日,"22,267","22,277.45","21,078.71","21,610.24"
2018年2月5日,"22,921.16","22,967.69","22,659.43","22,682.08"
2018年2月2日,"23,361.67","23,367.96","23,122.45","23,274.53"
2018年2月1日,"23,276.1","23,492.77","23,211.12","23,486.11"
2018年1月31日,"23,205.23","23,375.38","23,092.85","23,098.29"
2018年1月30日,"23,559.33","23,581.98","23,233.37","23,291.97"
2018年1月29日,"23,707.14","23,787.23","23,580.17","23,629.34"
2018年1月26日,"23,757.34","23,797.96","23,592.28","23,631.88"
2018年1月25日,"23,750.65","23,828.4","23,649.03","23,669.49"
2018年1月24日,"24,026.43","24,072.77","23,917.14","23,940.78"
2018年1月23日,"23,924.4","24,129.34","23,916.02","24,124.15"
2018年1月22日,"23,797.84","23,816.33","23,697.81","23,816.33"
2018年1月19日,"23,854.11","23,872.69","23,735.61","23,808.06"
2018年1月18日,"24,078.93","24,084.42","23,699.47","23,763.37"
2018年1月17日,"23,783.42","23,891.63","23,739.17","23,868.34"
2018年1月16日,"23,721.17","23,962.07","23,701.83","23,951.81"
2018年1月15日,"23,827.98","23,833.27","23,685.02","23,714.88"
2018年1月12日,"23,719.66","23,743.05","23,588.07","23,653.82"
2018年1月11日,"23,656.39","23,734.97","23,601.84","23,710.43"
2018年1月10日,"23,832.81","23,864.76","23,755.45","23,788.2"
2018年1月9日,"23,948.97","23,952.61","23,789.03","23,849.99"
2018年1月5日,"23,643","23,730.47","23,520.52","23,714.53"
2018年1月4日,"23,073.73","23,506.33","23,065.2","23,506.33"
2017年12月29日,"22,831.49","22,881.21","22,753.2","22,764.94"
2017年12月28日,"22,912.05","22,954.45","22,736.43","22,783.98"
2017年12月27日,"22,854.39","22,936.16","22,854.39","22,911.21"
2017年12月26日,"22,922.95","22,950.15","22,877.63","22,892.69"
2017年12月25日,"22,909.41","22,948.83","22,870.19","22,939.18"
2017年12月22日,"22,850.73","22,908.84","22,801.16","22,902.76"
2017年12月21日,"22,852.01","22,894.95","22,728.06","22,866.1"
2017年12月20日,"22,834.93","22,923.5","22,806.73","22,891.72"
2017年12月19日,"22,961.47","22,990.42","22,862.82","22,868"
2017年12月18日,"22,770.44","22,927.5","22,735.2","22,901.77"
2017年12月15日,"22,621.36","22,745.09","22,478.32","22,553.22"
2017年12月14日,"22,699.3","22,786.61","22,638.76","22,694.45"
2017年12月13日,"22,879.27","22,879.37","22,697.32","22,758.07"
2017年12月12日,"22,936.41","22,994.33","22,834.89","22,866.17"
2017年12月11日,"22,894.3","22,938.73","22,787.4","22,938.73"
2017年12月8日,"22,627.95","22,819.71","22,625.41","22,811.08"
2017年12月7日,"22,317.15","22,515.24","22,317.15","22,498.03"
2017年12月6日,"22,525.38","22,528.21","22,119.21","22,177.04"
2017年12月5日,"22,595.33","22,682.71","22,522.28","22,622.38"
2017年12月4日,"22,843.53","22,864.33","22,693.99","22,707.16"
2017年12月1日,"22,916.93","22,994.31","22,675.07","22,819.03"
2017年11月30日,"22,601.83","22,748.32","22,502.68","22,724.96"
2017年11月29日,"22,613.96","22,643.93","22,537.12","22,597.2"
2017年11月28日,"22,474.74","22,580.99","22,363.94","22,486.24"
2017年11月27日,"22,657.08","22,659.33","22,423.4","22,495.99"
2017年11月24日,"22,390.14","22,567.2","22,381.01","22,550.85"
2017年11月22日,"22,601.55","22,677.34","22,513.44","22,523.15"
2017年11月21日,"22,456.79","22,563.25","22,416.48","22,416.48"
2017年11月20日,"22,279.98","22,410.24","22,215.07","22,261.76"
2017年11月17日,"22,603.3","22,757.4","22,319.12","22,396.8"
2017年11月16日,"21,975.23","22,392.13","21,972.34","22,351.12"
2017年11月15日,"22,250.98","22,305.24","22,004.79","22,028.32"
2017年11月14日,"22,342.93","22,532.3","22,323.24","22,380.01"
2017年11月13日,"22,607.56","22,607.92","22,380.99","22,380.99"
2017年11月10日,"22,580.7","22,724.39","22,511.93","22,681.42"
2017年11月9日,"22,989.44","23,382.15","22,522.83","22,868.71"
2017年11月8日,"22,849.91","22,922.8","22,759.07","22,913.82"
2017年11月7日,"22,518.75","22,953.18","22,512.91","22,937.6"
2017年11月6日,"22,612.96","22,644.68","22,435.34","22,548.35"
2017年11月2日,"22,512.18","22,540.25","22,400.01","22,539.12"
2017年11月1日,"22,144.92","22,455.92","22,130.03","22,420.08"
2017年10月31日,"21,897.29","22,020.38","21,840.07","22,011.61"
2017年10月30日,"22,047.95","22,086.88","21,921.24","22,011.67"
2017年10月27日,"21,903.27","22,016.5","21,815.72","22,008.45"
2017年10月26日,"21,698.95","21,793.62","21,688.56","21,739.78"
2017年10月25日,"21,900.13","21,921.36","21,648.35","21,707.62"
2017年10月24日,"21,670","21,805.17","21,646.52","21,805.17"
2017年10月23日,"21,709.3","21,723.6","21,614.51","21,696.65"
2017年10月20日,"21,390.95","21,489.26","21,363.1","21,457.64"
2017年10月19日,"21,450.04","21,503.85","21,381.52","21,448.52"
2017年10月18日,"21,374.66","21,402.76","21,317.67","21,363.05"
2017年10月17日,"21,352.17","21,393.96","21,230.67","21,336.12"
2017年10月16日,"21,221.27","21,347.07","21,187.93","21,255.56"
2017年10月13日,"20,959.66","21,211.29","20,933","21,155.18"
2017年10月12日,"20,958.18","20,994.4","20,917.04","20,954.72"
2017年10月11日,"20,803.71","20,898.41","20,788.12","20,881.27"
2017年10月10日,"20,680.54","20,823.66","20,663.08","20,823.51"
2017年10月6日,"20,716.85","20,721.15","20,659.15","20,690.71"
2017年10月5日,"20,650.71","20,667.47","20,602.26","20,628.56"
2017年10月4日,"20,660.81","20,689.08","20,592.18","20,626.66"
2017年10月3日,"20,475.25","20,628.38","20,438.17","20,614.07"
2017年10月2日,"20,400.51","20,411.33","20,363.28","20,400.78"
2017年9月29日,"20,315.34","20,370.33","20,285.06","20,356.28"
2017年9月28日,"20,398.63","20,399.87","20,299.68","20,363.11"
2017年9月27日,"20,269.82","20,278.09","20,213.66","20,267.05"
2017年9月26日,"20,349.26","20,385.5","20,303.98","20,330.19"
2017年9月25日,"20,439.43","20,454.29","20,367.03","20,397.58"
2017年9月22日,"20,413.61","20,417.07","20,249.24","20,296.45"
2017年9月21日,"20,456.5","20,481.27","20,332.69","20,347.48"
2017年9月20日,"20,301.33","20,339.37","20,272.82","20,310.46"
2017年9月19日,"20,128.18","20,320.78","20,122","20,299.38"
2017年9月15日,"19,793.8","19,933.4","19,787.65","19,909.5"
2017年9月14日,"19,860.37","19,918.39","19,793.85","19,807.44"
2017年9月13日,"19,873.69","19,888.84","19,845.02","19,865.82"
2017年9月12日,"19,736.14","19,792.06","19,718.8","19,776.62"
2017年9月11日,"19,441.39","19,567.03","19,437.14","19,545.77"
2017年9月8日,"19,297.96","19,357.49","19,239.52","19,274.82"
2017年9月7日,"19,433.44","19,482.72","19,365.75","19,396.52"
2017年9月6日,"19,286.06","19,371.38","19,254.67","19,357.97"
2017年9月5日,"19,533.38","19,542.78","19,354.59","19,385.81"
2017年9月4日,"19,615.96","19,628.4","19,479.4","19,508.25"
2017年9月1日,"19,733.57","19,735.96","19,620.07","19,691.47"
2017年8月31日,"19,591.32","19,687.99","19,583.11","19,646.24"
2017年8月30日,"19,480.98","19,538.23","19,435.1","19,506.54"
2017年8月29日,"19,319.11","19,371.9","19,280.02","19,362.55"
2017年8月28日,"19,502.23","19,535.5","19,420.5","19,449.9"
2017年8月25日,"19,401.12","19,485.97","19,384.37","19,452.61"
2017年8月24日,"19,366.36","19,428.55","19,351.92","19,353.77"
2017年8月23日,"19,547.05","19,561.32","19,408.47","19,434.64"
2017年8月22日,"19,373.11","19,437.25","19,361.95","19,383.84"
2017年8月21日,"19,509.53","19,509.53","19,365.65","19,393.13"
2017年8月18日,"19,471.27","19,543.13","19,433.09","19,470.41"
2017年8月17日,"19,707.75","19,739.04","19,679.37","19,702.63"
2017年8月16日,"19,750.55","19,776.86","19,719.08","19,729.28"
2017年8月15日,"19,689.38","19,824.12","19,656.91","19,753.31"
2017年8月14日,"19,545.58","19,598.41","19,486.48","19,537.1"
2017年8月10日,"19,792.45","19,829.88","19,685.83","19,729.74"
2017年8月9日,"19,928.96","19,945.28","19,660.22","19,738.71"
2017年8月8日,"20,062.65","20,076.8","19,970.57","19,996.01"
2017年8月7日,"20,059.29","20,085.9","20,037.4","20,055.89"
2017年8月4日,"19,949.79","19,984.51","19,933.59","19,952.33"
2017年8月3日,"20,066","20,070.16","19,985.4","20,029.26"
2017年8月2日,"20,057.07","20,113.73","20,022.05","20,080.04"
2017年8月1日,"19,907.08","20,000.46","19,904.72","19,985.79"
2017年7月31日,"19,933.45","19,983.9","19,891.9","19,925.18"
2017年7月28日,"20,048.46","20,056.16","19,926.6","19,959.84"
2017年7月27日,"20,026.58","20,176.39","20,005.2","20,079.64"
2017年7月26日,"20,098.14","20,116","20,016.58","20,050.16"
2017年7月25日,"19,979.56","20,036.31","19,941.61","19,955.2"
2017年7月24日,"19,973.67","20,002.54","19,901.88","19,975.67"
2017年7月21日,"20,089.86","20,135.33","20,081.91","20,099.75"
2017年7月20日,"20,046.9","20,157.11","20,032.23","20,144.59"
2017年7月19日,"19,970.78","20,032.46","19,947.26","20,020.86"
2017年7月18日,"20,074.41","20,081.29","19,943.14","19,999.91"
2017年7月14日,"20,157.92","20,163.67","20,101.71","20,118.86"
2017年7月13日,"20,177.28","20,183.8","20,062.27","20,099.81"
2017年7月12日,"20,137.22","20,153.04","20,061.16","20,098.38"
2017年7月11日,"20,073.86","20,200.88","20,070.67","20,195.48"
2017年7月10日,"20,070.44","20,127.76","20,023.03","20,080.98"
2017年7月7日,"19,856.65","19,979.93","19,856.65","19,929.09"
2017年7月6日,"20,061.68","20,078.88","19,947.63","19,994.06"
2017年7月5日,"20,015.07","20,087.01","19,888.9","20,081.63"
2017年7月4日,"20,192.27","20,197.16","19,971.53","20,032.35"
2017年7月3日,"20,056.32","20,096.14","20,030.61","20,055.8"
2017年6月30日,"20,025.63","20,044.01","19,946.51","20,033.43"
2017年6月29日,"20,260.87","20,266.59","20,197.38","20,220.3"
2017年6月28日,"20,149.2","20,224.3","20,110.49","20,130.41"
2017年6月27日,"20,229.12","20,250.1","20,185.19","20,225.09"
2017年6月26日,"20,132.81","20,196.38","20,119.04","20,153.35"
2017年6月23日,"20,152.58","20,152.58","20,089.54","20,132.67"
2017年6月22日,"20,154.38","20,191.42","20,107.89","20,110.51"
2017年6月21日,"20,192.16","20,215.11","20,117.79","20,138.79"
2017年6月20日,"20,234.12","20,318.11","20,227.29","20,230.41"
2017年6月19日,"19,974.3","20,087.71","19,949.88","20,067.75"
2017年6月16日,"19,931.15","20,015.16","19,884.8","19,943.26"
2017年6月15日,"19,815.54","19,963.36","19,755.34","19,831.82"
2017年6月14日,"19,974.56","20,009.93","19,879.6","19,883.52"
2017年6月13日,"19,859.81","19,929.03","19,850.86","19,898.75"
2017年6月12日,"19,920.77","19,949.07","19,837.64","19,908.58"
2017年6月9日,"19,953.06","20,096.01","19,927.07","20,013.26"
2017年6月8日,"20,048.28","20,061.22","19,896.35","19,909.26"
2017年6月7日,"19,951.68","20,023.24","19,908.07","19,984.62"
2017年6月6日,"20,122.26","20,152.95","19,948.02","19,979.9"
2017年6月5日,"20,135.42","20,224.54","20,104.13","20,170.82"
2017年6月2日,"19,970.23","20,239.81","19,967","20,177.28"
2017年6月1日,"19,692.16","19,887.66","19,686.32","19,860.03"
2017年5月31日,"19,630.33","19,673.51","19,589.25","19,650.57"
2017年5月30日,"19,681.11","19,691.44","19,570.13","19,677.85"
2017年5月29日,"19,697.18","19,736.62","19,627.19","19,682.57"
2017年5月26日,"19,798.49","19,801.59","19,686.49","19,686.84"
2017年5月25日,"19,737.21","19,850.93","19,720.12","19,813.13"
2017年5月24日,"19,777.56","19,782.81","19,690.1","19,742.98"
2017年5月23日,"19,647.74","19,693.02","19,585.54","19,613.28"
2017年5月22日,"19,670.48","19,722.93","19,618.73","19,678.28"
2017年5月19日,"19,591.41","19,628.64","19,497.29","19,590.76"
2017年5月18日,"19,556.99","19,601.53","19,449.73","19,553.86"
2017年5月17日,"19,806.78","19,842.78","19,764.63","19,814.88"
2017年5月16日,"19,953.06","19,998.49","19,862.41","19,919.82"
2017年5月15日,"19,753.46","19,869.85","19,740.63","19,869.85"
2017年5月12日,"19,941.64","19,941.64","19,809.91","19,883.9"
2017年5月11日,"19,943.95","19,989.94","19,906.35","19,961.55"
2017年5月10日,"19,890.56","19,938.53","19,866.3","19,900.09"
2017年5月9日,"19,915.64","19,917.45","19,838.71","19,843"
2017年5月8日,"19,709.01","19,929.48","19,705.13","19,895.7"
2017年5月2日,"19,335.72","19,464.3","19,335.02","19,445.7"
2017年5月1日,"19,154.03","19,311.21","19,144.62","19,310.52"
2017年4月28日,"19,240.65","19,264.57","19,164.68","19,196.74"
2017年4月27日,"19,205.59","19,281.7","19,199.59","19,251.87"
2017年4月26日,"19,184.92","19,289.43","19,170.86","19,289.43"
2017年4月25日,"18,872.56","19,109.76","18,867.19","19,079.33"
2017年4月24日,"18,890.38","18,910.33","18,840.13","18,875.88"
2017年4月21日,"18,591.82","18,648.28","18,542.42","18,620.75"
2017年4月20日,"18,446.39","18,523.4","18,420.82","18,430.49"
2017年4月19日,"18,327.33","18,467.73","18,327.33","18,432.2"
2017年4月18日,"18,497.38","18,547.46","18,362.73","18,418.59"
2017年4月17日,"18,239.84","18,361.44","18,224.68","18,355.26"
2017年4月14日,"18,531.91","18,531.91","18,285.73","18,335.63"
2017年4月13日,"18,391.72","18,455.25","18,304.72","18,426.84"
2017年4月12日,"18,592.1","18,602.5","18,460.59","18,552.61"
2017年4月11日,"18,717.55","18,767.7","18,661.86","18,747.87"
2017年4月10日,"18,800.22","18,850.8","18,762.7","18,797.88"
2017年4月7日,"18,714.98","18,785.73","18,517.43","18,664.63"
2017年4月6日,"18,754.37","18,797.44","18,532.65","18,597.06"
2017年4月5日,"18,900.7","18,941.94","18,773.94","18,861.27"
2017年4月4日,"18,933.82","18,947.33","18,703.63","18,810.25"
2017年4月3日,"18,988","19,068.62","18,920.52","18,983.23"
2017年3月31日,"19,170.42","19,210.92","18,909.26","18,909.26"
2017年3月30日,"19,150.82","19,218.08","19,043.48","19,063.22"
2017年3月29日,"19,216.78","19,251.3","19,164.61","19,217.48"
2017年3月28日,"19,159.07","19,203.64","19,113.44","19,202.87"
2017年3月27日,"19,071.19","19,086.89","18,932.09","18,985.59"
2017年3月24日,"19,066.35","19,296.05","19,060.64","19,262.53"
2017年3月23日,"19,048.84","19,105.11","18,973.75","19,085.31"
2017年3月22日,"19,146.62","19,183.27","19,026.53","19,041.38"
2017年3月21日,"19,416.55","19,485.14","19,337.22","19,455.88"
2017年3月17日,"19,510.89","19,547.51","19,487.92","19,521.59"
2017年3月16日,"19,458.7","19,618.99","19,454.17","19,590.14"
2017年3月15日,"19,528.75","19,581.53","19,503.74","19,577.38"
2017年3月14日,"19,634.29","19,637.55","19,599.62","19,609.5"
2017年3月13日,"19,545.74","19,656.48","19,531.51","19,633.75"
2017年3月10日,"19,444.71","19,623.72","19,427.81","19,604.61"
2017年3月9日,"19,343.06","19,350.2","19,262.98","19,318.58"
2017年3月8日,"19,308.53","19,326.4","19,198.78","19,254.03"
2017年3月7日,"19,337.19","19,375.09","19,317.1","19,344.15"
2017年3月6日,"19,409.18","19,411.54","19,340.32","19,379.14"
2017年3月3日,"19,551.34","19,587.79","19,392.75","19,469.17"
2017年3月2日,"19,624.82","19,668.01","19,564.8","19,564.8"
2017年3月1日,"19,226.94","19,414.55","19,164.62","19,393.54"
2017年2月28日,"19,194.68","19,267.99","19,118.99","19,118.99"
2017年2月27日,"19,130.51","19,178.99","18,995.55","19,107.47"
2017年2月24日,"19,232.11","19,381.1","19,219.58","19,283.54"
2017年2月23日,"19,379.92","19,379.92","19,262.63","19,371.46"
2017年2月22日,"19,419.22","19,419.22","19,329.28","19,379.87"
2017年2月21日,"19,267.87","19,395.35","19,261.98","19,381.44"
2017年2月20日,"19,161.33","19,274.75","19,115.11","19,251.08"
2017年2月17日,"19,228.74","19,275.39","19,173.53","19,234.62"
2017年2月16日,"19,431.61","19,431.61","19,260.24","19,347.53"
2017年2月15日,"19,438.81","19,495.62","19,420","19,437.98"
2017年2月14日,"19,478.86","19,501.01","19,232.85","19,238.98"
2017年2月13日,"19,513.78","19,519.44","19,418.18","19,459.15"
2017年2月10日,"19,216.74","19,395.99","19,193.57","19,378.93"
2017年2月9日,"18,942.04","18,991.23","18,874.91","18,907.67"
2017年2月8日,"18,951.16","19,009.24","18,875.57","19,007.6"
2017年2月7日,"18,844.12","18,970.58","18,805.32","18,910.78"
2017年2月6日,"19,069.72","19,075.57","18,899.4","18,976.71"
2017年2月3日,"18,996.74","19,061.26","18,830.89","18,918.2"
2017年2月2日,"19,152.79","19,170.63","18,866.8","18,914.58"
2017年2月1日,"18,926.97","19,155.79","18,916.18","19,148.08"
2017年1月31日,"19,145.35","19,199.75","19,041.34","19,041.34"
2017年1月30日,"19,371.28","19,390.97","19,295.8","19,368.85"
2017年1月27日,"19,453.51","19,486.68","19,404.13","19,467.4"
2017年1月26日,"19,260.67","19,405.23","19,232.46","19,402.39"
2017年1月25日,"19,091.23","19,133.18","18,987.45","19,057.5"
2017年1月24日,"18,817.42","18,915.7","18,783.16","18,787.99"
2017年1月23日,"18,938.45","19,024.21","18,879.68","18,891.03"
2017年1月20日,"19,059.15","19,176.86","19,040.2","19,137.91"
2017年1月19日,"19,082.83","19,122.39","18,982.13","19,072.25"
2017年1月18日,"18,753.96","18,941.24","18,650.33","18,894.37"
2017年1月17日,"19,038.45","19,043.91","18,812.86","18,813.53"
2017年1月16日,"19,219.13","19,255.41","19,061.27","19,095.24"
2017年1月13日,"19,174.97","19,299.36","19,156.93","19,287.28"
2017年1月12日,"19,300.19","19,300.19","19,069.02","19,134.7"
2017年1月11日,"19,358.64","19,402.17","19,325.46","19,364.67"
2017年1月10日,"19,414.83","19,484.9","19,255.35","19,301.44"
2017年1月6日,"19,393.55","19,472.37","19,354.44","19,454.33"
2017年1月5日,"19,602.1","19,615.4","19,473.28","19,520.69"
2017年1月4日,"19,298.68","19,594.16","19,277.93","19,594.16"
